"age","job","marital","education","default","balance","housing","loan","contact","day","month","duration","campaign","pdays","previous","poutcome","y"
43,"admin.","married","secondary","no",264,"yes","no","cellular",17,"apr",113,2,-1,0,"unknown","no"
37,"admin.","single","tertiary","no",2317,"yes","no","cellular",20,"apr",114,1,152,2,"failure","no"
53,"admin.","married","secondary","no",105,"no","yes","cellular",21,"aug",74,2,-1,0,"unknown","no"
42,"admin.","divorced","secondary","no",1811,"yes","no","unknown",14,"may",150,1,-1,0,"unknown","no"
61,"admin.","married","unknown","no",4629,"yes","no","cellular",27,"jan",181,1,92,1,"success","yes"
48,"admin.","married","secondary","no",3064,"yes","no","telephone",15,"jul",159,2,-1,0,"unknown","no"
56,"admin.","married","secondary","no",16873,"no","no","cellular",7,"oct",223,1,-1,0,"unknown","no"
27,"admin.","divorced","secondary","no",451,"yes","no","cellular",16,"jul",652,1,-1,0,"unknown","yes"
28,"admin.","single","secondary","no",177,"yes","yes","cellular",6,"may",150,1,-1,0,"unknown","no"
38,"admin.","married","secondary","no",424,"yes","no","cellular",17,"apr",279,1,-1,0,"unknown","no"
41,"admin.","married","tertiary","no",5426,"yes","no","unknown",14,"may",149,2,-1,0,"unknown","no"
30,"admin.","single","tertiary","no",261,"no","no","cellular",19,"oct",233,1,137,20,"failure","no"
22,"admin.","single","secondary","no",4111,"no","yes","cellular",19,"aug",65,1,-1,0,"unknown","no"
31,"admin.","divorced","secondary","no",1890,"yes","no","cellular",21,"jul",588,1,-1,0,"unknown","no"
48,"admin.","married","unknown","no",0,"yes","no","cellular",8,"may",85,1,168,2,"failure","no"
29,"admin.","single","secondary","no",428,"yes","yes","cellular",7,"may",54,1,345,2,"failure","no"
42,"admin.","married","secondary","no",323,"yes","yes","unknown",8,"may",280,2,-1,0,"unknown","no"
46,"admin.","married","secondary","no",179,"yes","no","cellular",29,"jan",194,4,436,1,"other","no"
55,"admin.","married","secondary","no",602,"no","no","cellular",1,"jun",324,3,90,2,"success","yes"
25,"admin.","single","secondary","no",4590,"yes","no","unknown",28,"may",199,2,-1,0,"unknown","no"
41,"admin.","single","secondary","no",-256,"no","yes","unknown",9,"may",35,3,-1,0,"unknown","no"
31,"admin.","single","secondary","no",2104,"yes","no","unknown",3,"jun",455,1,-1,0,"unknown","no"
40,"admin.","single","secondary","no",462,"yes","yes","cellular",6,"apr",272,1,335,4,"other","no"
32,"admin.","married","secondary","no",1031,"yes","no","cellular",17,"jul",84,1,-1,0,"unknown","no"
43,"admin.","married","secondary","no",-465,"yes","yes","cellular",23,"jul",166,1,-1,0,"unknown","no"
44,"admin.","married","secondary","no",5181,"yes","yes","cellular",31,"jul",18,7,-1,0,"unknown","no"
37,"admin.","married","secondary","no",176,"yes","no","cellular",5,"may",147,2,347,1,"failure","no"
37,"admin.","married","tertiary","no",0,"yes","no","cellular",17,"nov",65,2,119,1,"failure","no"
34,"admin.","single","secondary","no",6979,"yes","no","cellular",15,"may",14,5,-1,0,"unknown","no"
40,"admin.","divorced","secondary","no",6,"no","no","unknown",11,"jun",140,1,-1,0,"unknown","no"
34,"admin.","married","tertiary","no",899,"yes","no","telephone",19,"nov",377,3,7,4,"success","no"
34,"admin.","single","secondary","no",1,"yes","no","cellular",22,"jul",483,7,-1,0,"unknown","no"
27,"admin.","married","secondary","no",-247,"yes","yes","unknown",4,"jun",344,2,-1,0,"unknown","no"
38,"admin.","single","secondary","no",902,"yes","no","telephone",31,"jul",58,13,-1,0,"unknown","no"
42,"admin.","divorced","secondary","no",63,"no","no","unknown",16,"may",88,6,-1,0,"unknown","no"
47,"admin.","married","secondary","no",1060,"yes","no","unknown",6,"jun",83,3,-1,0,"unknown","no"
34,"admin.","married","tertiary","no",69,"no","yes","cellular",4,"aug",120,3,1,6,"success","yes"
38,"admin.","married","tertiary","no",605,"no","no","cellular",18,"nov",147,2,-1,0,"unknown","no"
25,"admin.","single","tertiary","no",760,"yes","no","cellular",27,"may",223,3,89,2,"failure","yes"
50,"admin.","married","primary","no",276,"no","yes","unknown",17,"jun",641,6,-1,0,"unknown","no"
45,"admin.","married","unknown","no",1783,"no","no","unknown",20,"jun",11,11,-1,0,"unknown","no"
48,"admin.","single","secondary","no",1150,"yes","no","unknown",28,"may",357,1,-1,0,"unknown","no"
37,"admin.","married","secondary","no",121,"no","no","cellular",22,"jul",22,6,-1,0,"unknown","no"
34,"admin.","married","secondary","no",244,"yes","no","cellular",31,"jul",56,4,-1,0,"unknown","no"
44,"admin.","married","secondary","no",0,"yes","yes","unknown",16,"may",159,1,-1,0,"unknown","no"
48,"admin.","divorced","secondary","no",4099,"no","no","cellular",2,"apr",397,2,-1,0,"unknown","yes"
42,"admin.","married","secondary","no",-396,"yes","no","cellular",11,"may",80,1,308,4,"failure","no"
34,"admin.","married","secondary","no",613,"yes","no","cellular",4,"jun",80,1,-1,0,"unknown","no"
54,"admin.","married","secondary","no",0,"no","no","cellular",28,"jan",161,1,98,2,"failure","yes"
42,"admin.","divorced","secondary","no",1076,"yes","no","unknown",14,"may",213,1,-1,0,"unknown","no"
27,"admin.","single","secondary","no",619,"yes","no","cellular",20,"apr",16,5,322,4,"other","no"
37,"admin.","divorced","tertiary","no",4303,"yes","no","unknown",23,"may",168,1,-1,0,"unknown","no"
30,"admin.","single","secondary","no",239,"yes","no","cellular",7,"may",115,3,-1,0,"unknown","no"
47,"admin.","married","secondary","no",2,"no","no","cellular",10,"jul",89,1,-1,0,"unknown","no"
35,"admin.","divorced","secondary","no",-402,"yes","no","cellular",17,"apr",46,1,-1,0,"unknown","no"
61,"admin.","married","secondary","no",4608,"no","no","cellular",12,"mar",212,1,-1,0,"unknown","yes"
53,"admin.","married","secondary","no",1796,"no","no","telephone",16,"mar",295,1,91,2,"success","yes"
46,"admin.","married","secondary","no",22,"no","no","cellular",26,"aug",388,6,-1,0,"unknown","yes"
58,"admin.","married","secondary","no",2,"yes","yes","telephone",25,"jul",282,9,-1,0,"unknown","no"
43,"admin.","divorced","secondary","no",738,"yes","no","cellular",21,"nov",585,4,191,4,"failure","no"
27,"admin.","married","secondary","no",1033,"yes","no","unknown",9,"may",1713,1,-1,0,"unknown","no"
34,"admin.","single","secondary","no",663,"yes","no","cellular",20,"apr",111,1,-1,0,"unknown","no"
41,"admin.","married","secondary","no",920,"yes","yes","unknown",27,"may",239,1,-1,0,"unknown","no"
47,"admin.","single","secondary","no",3696,"no","no","cellular",12,"jul",250,2,181,4,"success","yes"
49,"admin.","married","secondary","no",2465,"no","no","cellular",20,"aug",157,3,-1,0,"unknown","no"
37,"admin.","married","secondary","no",1314,"yes","no","cellular",8,"may",682,2,85,7,"success","no"
31,"admin.","married","secondary","no",236,"yes","yes","telephone",4,"may",211,3,-1,0,"unknown","no"
31,"admin.","married","secondary","no",88,"yes","yes","cellular",8,"aug",189,2,-1,0,"unknown","no"
57,"admin.","divorced","unknown","no",887,"no","no","unknown",20,"jun",43,8,-1,0,"unknown","no"
53,"admin.","single","secondary","no",1178,"yes","no","unknown",15,"may",295,2,-1,0,"unknown","no"
28,"admin.","single","unknown","no",174,"no","no","cellular",28,"sep",184,1,-1,0,"unknown","no"
30,"admin.","single","secondary","no",-635,"no","no","cellular",25,"jul",250,1,-1,0,"unknown","no"
