"age","job","marital","education","default","balance","housing","loan","contact","day","month","duration","campaign","pdays","previous","poutcome","y"
59,"blue-collar","married","secondary","no",0,"yes","no","unknown",5,"may",226,1,-1,0,"unknown","no"
31,"blue-collar","married","secondary","no",360,"yes","yes","cellular",29,"jan",89,1,241,1,"failure","no"
25,"blue-collar","single","primary","no",-221,"yes","no","unknown",23,"may",250,1,-1,0,"unknown","no"
55,"blue-collar","married","primary","no",627,"yes","no","unknown",5,"may",247,1,-1,0,"unknown","no"
32,"blue-collar","married","secondary","no",2089,"yes","no","cellular",14,"nov",132,1,-1,0,"unknown","yes"
52,"blue-collar","married","secondary","no",1117,"yes","no","cellular",13,"may",365,1,-1,0,"unknown","no"
55,"blue-collar","married","primary","no",145,"no","no","telephone",2,"feb",59,3,5,2,"other","no"
26,"blue-collar","married","primary","no",0,"yes","no","unknown",21,"may",425,1,-1,0,"unknown","no"
45,"blue-collar","divorced","primary","no",844,"no","no","unknown",5,"jun",1018,3,-1,0,"unknown","yes"
53,"blue-collar","married","secondary","no",2231,"yes","no","cellular",14,"jul",272,3,-1,0,"unknown","no"
41,"blue-collar","married","primary","no",-516,"no","yes","telephone",8,"jul",554,3,-1,0,"unknown","no"
51,"blue-collar","divorced","secondary","no",203,"yes","no","cellular",8,"may",134,1,170,5,"failure","no"
41,"blue-collar","divorced","secondary","no",174,"yes","no","cellular",14,"may",367,2,297,1,"other","no"
50,"blue-collar","divorced","primary","no",388,"no","no","cellular",5,"feb",701,1,-1,0,"unknown","no"
51,"blue-collar","married","primary","no",1466,"yes","no","unknown",7,"may",406,2,-1,0,"unknown","no"
35,"blue-collar","single","primary","no",293,"yes","no","unknown",30,"may",521,2,-1,0,"unknown","no"
34,"blue-collar","married","secondary","no",1831,"yes","no","unknown",20,"may",203,2,-1,0,"unknown","no"
39,"blue-collar","married","primary","no",111,"no","no","cellular",18,"nov",201,2,-1,0,"unknown","no"
34,"blue-collar","married","primary","no",455,"yes","no","unknown",20,"jun",372,3,-1,0,"unknown","no"
