"age","job","marital","education","default","balance","housing","loan","contact","day","month","duration","campaign","pdays","previous","poutcome","y"
41,"entrepreneur","married","tertiary","no",221,"yes","no","unknown",14,"may",57,2,-1,0,"unknown","no"
44,"entrepreneur","married","secondary","no",93,"no","no","cellular",7,"jul",125,2,-1,0,"unknown","no"
32,"entrepreneur","single","primary","yes",-849,"yes","yes","cellular",4,"feb",204,1,-1,0,"unknown","no"
42,"entrepreneur","divorced","tertiary","yes",2,"yes","no","unknown",5,"may",380,1,-1,0,"unknown","no"
41,"entrepreneur","married","unknown","no",89,"yes","no","unknown",6,"may",333,2,-1,0,"unknown","no"
55,"entrepreneur","married","secondary","no",8104,"no","no","cellular",6,"feb",213,2,-1,0,"unknown","no"
40,"entrepreneur","married","tertiary","no",3571,"no","no","unknown",9,"jun",222,3,-1,0,"unknown","no"
53,"entrepreneur","married","tertiary","no",624,"no","yes","cellular",21,"jul",180,4,-1,0,"unknown","no"
49,"entrepreneur","divorced","unknown","yes",-701,"yes","no","cellular",30,"jul",988,2,-1,0,"unknown","yes"
38,"entrepreneur","married","secondary","no",593,"yes","yes","cellular",24,"jul",1484,24,-1,0,"unknown","yes"
49,"entrepreneur","married","secondary","no",687,"yes","no","cellular",17,"apr",772,1,-1,0,"unknown","yes"
35,"entrepreneur","married","secondary","no",2971,"no","no","cellular",4,"may",429,4,164,2,"failure","yes"
35,"entrepreneur","single","tertiary","no",145,"yes","no","cellular",18,"jul",799,2,-1,0,"unknown","yes"
30,"entrepreneur","married","secondary","no",946,"yes","no","cellular",19,"nov",1065,1,183,1,"other","no"
55,"entrepreneur","divorced","tertiary","no",0,"no","no","unknown",6,"jun",108,2,-1,0,"unknown","no"
39,"entrepreneur","married","tertiary","no",2,"yes","no","cellular",17,"nov",180,1,-1,0,"unknown","no"
38,"entrepreneur","married","secondary","yes",15,"yes","no","cellular",10,"jul",121,1,-1,0,"unknown","no"
50,"entrepreneur","married","secondary","no",665,"no","no","telephone",17,"nov",238,1,-1,0,"unknown","no"
46,"entrepreneur","married","unknown","no",242,"yes","no","unknown",9,"may",332,2,-1,0,"unknown","no"
28,"entrepreneur","married","unknown","no",1034,"no","no","cellular",29,"jan",113,1,-1,0,"unknown","no"
52,"entrepreneur","married","tertiary","no",54,"yes","yes","telephone",18,"nov",103,1,-1,0,"unknown","no"
26,"entrepreneur","single","tertiary","no",81,"no","no","cellular",21,"jul",262,3,-1,0,"unknown","no"
32,"entrepreneur","single","tertiary","no",890,"yes","yes","cellular",28,"aug",27,10,-1,0,"unknown","no"
29,"entrepreneur","married","secondary","no",178,"yes","no","cellular",5,"may",231,4,-1,0,"unknown","no"
27,"entrepreneur","single","tertiary","no",81,"no","no","cellular",5,"feb",197,1,199,3,"failure","no"
53,"entrepreneur","married","primary","no",1034,"yes","no","cellular",19,"nov",854,2,170,3,"other","no"
32,"entrepreneur","married","unknown","no",73,"yes","no","cellular",21,"nov",158,1,135,1,"failure","no"
53,"entrepreneur","married","unknown","no",28,"no","no","cellular",31,"jul",117,2,-1,0,"unknown","no"
35,"entrepreneur","married","tertiary","no",0,"no","no","cellular",5,"may",74,1,168,4,"failure","no"
48,"entrepreneur","married","tertiary","no",810,"no","no","unknown",6,"jun",383,1,-1,0,"unknown","no"
35,"entrepreneur","married","primary","no",2643,"no","yes","cellular",8,"jul",259,1,-1,0,"unknown","no"
42,"entrepreneur","married","tertiary","no",233,"no","no","cellular",5,"feb",446,1,-1,0,"unknown","no"
31,"entrepreneur","single","tertiary","no",1957,"no","no","cellular",4,"feb",112,3,-1,0,"unknown","no"
37,"entrepreneur","married","tertiary","no",4798,"yes","no","unknown",20,"may",156,2,-1,0,"unknown","no"
51,"entrepreneur","divorced","tertiary","no",4,"yes","yes","cellular",20,"apr",74,5,-1,0,"unknown","no"
33,"entrepreneur","married","tertiary","no",595,"no","no","cellular",7,"aug",22,2,-1,0,"unknown","no"
45,"entrepreneur","married","primary","no",58,"yes","no","telephone",13,"may",119,3,371,3,"failure","no"
34,"entrepreneur","married","secondary","no",-139,"yes","yes","unknown",27,"may",492,2,-1,0,"unknown","no"
50,"entrepreneur","divorced","tertiary","no",1790,"no","yes","cellular",6,"feb",748,3,-1,0,"unknown","no"
34,"entrepreneur","divorced","tertiary","no",262,"no","no","cellular",20,"nov",371,1,-1,0,"unknown","no"
34,"entrepreneur","married","tertiary","no",355,"yes","no","unknown",16,"may",261,1,-1,0,"unknown","no"
42,"entrepreneur","married","primary","no",198,"yes","no","unknown",8,"may",314,1,-1,0,"unknown","no"
63,"entrepreneur","married","secondary","no",3904,"no","no","telephone",4,"aug",250,2,187,2,"success","yes"
48,"entrepreneur","married","secondary","no",725,"no","yes","cellular",10,"jul",105,1,-1,0,"unknown","no"
51,"entrepreneur","married","tertiary","no",5403,"no","no","unknown",6,"jun",42,1,-1,0,"unknown","no"
52,"entrepreneur","divorced","primary","no",278,"yes","no","unknown",7,"may",688,2,-1,0,"unknown","no"
35,"entrepreneur","single","secondary","no",475,"no","yes","cellular",21,"jul",936,4,-1,0,"unknown","no"
44,"entrepreneur","married","tertiary","no",3463,"yes","yes","cellular",28,"aug",210,3,-1,0,"unknown","no"
36,"entrepreneur","married","primary","no",177,"yes","no","unknown",12,"may",63,5,-1,0,"unknown","no"
37,"entrepreneur","single","tertiary","no",1467,"yes","yes","cellular",17,"nov",349,1,-1,0,"unknown","no"
38,"entrepreneur","married","secondary","no",868,"no","no","cellular",20,"nov",452,2,-1,0,"unknown","no"
54,"entrepreneur","married","secondary","no",653,"yes","no","unknown",15,"may",352,1,-1,0,"unknown","no"
40,"entrepreneur","married","primary","no",0,"yes","no","cellular",11,"jul",271,2,-1,0,"unknown","no"
47,"entrepreneur","married","unknown","no",209,"yes","no","unknown",6,"may",135,2,-1,0,"unknown","no"
58,"entrepreneur","married","secondary","no",2,"no","no","unknown",16,"jun",684,1,-1,0,"unknown","no"
37,"entrepreneur","married","tertiary","no",2685,"no","no","unknown",20,"jun",187,2,-1,0,"unknown","no"
41,"entrepreneur","married","tertiary","no",171,"yes","no","cellular",19,"nov",209,1,191,4,"failure","no"
38,"entrepreneur","married","secondary","no",157,"no","yes","cellular",15,"may",57,11,366,1,"other","no"
34,"entrepreneur","married","tertiary","no",-28,"yes","no","cellular",16,"jul",574,1,-1,0,"unknown","no"
44,"entrepreneur","married","primary","no",276,"yes","yes","unknown",15,"may",219,1,-1,0,"unknown","no"
33,"entrepreneur","married","primary","no",82,"yes","no","cellular",18,"nov",63,2,-1,0,"unknown","no"
36,"entrepreneur","single","secondary","no",475,"no","no","cellular",25,"jul",141,3,-1,0,"unknown","no"
39,"entrepreneur","married","primary","no",238,"yes","yes","cellular",19,"nov",134,1,-1,0,"unknown","no"
49,"entrepreneur","married","secondary","no",273,"no","no","cellular",23,"jul",58,1,-1,0,"unknown","no"
54,"entrepreneur","married","tertiary","no",1544,"no","yes","cellular",5,"feb",85,7,196,3,"failure","no"
34,"entrepreneur","married","tertiary","no",412,"yes","yes","cellular",8,"jul",164,1,-1,0,"unknown","no"
55,"entrepreneur","married","secondary","no",204,"no","no","cellular",14,"jul",455,13,-1,0,"unknown","no"
45,"entrepreneur","married","primary","no",2418,"yes","no","unknown",14,"may",120,1,-1,0,"unknown","no"
27,"entrepreneur","single","secondary","no",376,"yes","yes","cellular",5,"may",273,1,-1,0,"unknown","no"
41,"entrepreneur","married","secondary","no",353,"no","no","cellular",19,"nov",90,2,-1,0,"unknown","no"
44,"entrepreneur","married","tertiary","no",0,"yes","no","unknown",9,"jul",300,1,-1,0,"unknown","no"
60,"entrepreneur","married","primary","no",0,"no","no","telephone",23,"jul",40,1,-1,0,"unknown","no"
34,"entrepreneur","married","secondary","no",456,"yes","yes","cellular",28,"aug",137,8,-1,0,"unknown","no"
52,"entrepreneur","married","tertiary","no",0,"no","no","unknown",19,"jun",163,3,-1,0,"unknown","no"
51,"entrepreneur","married","tertiary","no",3921,"yes","no","cellular",5,"may",168,1,-1,0,"unknown","no"
40,"entrepreneur","married","tertiary","no",1729,"yes","no","cellular",12,"may",85,1,-1,0,"unknown","no"
46,"entrepreneur","married","secondary","no",757,"no","no","unknown",16,"jun",382,3,-1,0,"unknown","no"
46,"entrepreneur","single","tertiary","no",1410,"yes","no","cellular",19,"nov",93,1,189,8,"failure","no"
37,"entrepreneur","divorced","tertiary","no",66,"no","no","cellular",18,"nov",1164,2,-1,0,"unknown","yes"
45,"entrepreneur","married","secondary","no",245,"yes","no","unknown",14,"may",126,3,-1,0,"unknown","no"
46,"entrepreneur","married","tertiary","no",2262,"no","no","telephone",14,"jul",44,14,-1,0,"unknown","no"
34,"entrepreneur","married","secondary","no",4659,"yes","no","unknown",30,"aug",28,1,-1,0,"unknown","no"
47,"entrepreneur","married","primary","no",668,"no","no","cellular",12,"may",908,1,-1,0,"unknown","no"
42,"entrepreneur","married","tertiary","no",0,"no","no","cellular",9,"jul",236,1,-1,0,"unknown","no"
29,"entrepreneur","single","secondary","no",404,"no","no","cellular",30,"jan",413,3,-1,0,"unknown","no"
43,"entrepreneur","married","secondary","no",104,"yes","no","cellular",18,"jul",635,3,-1,0,"unknown","yes"
23,"entrepreneur","single","primary","no",4,"yes","no","unknown",13,"may",395,2,-1,0,"unknown","yes"
34,"entrepreneur","married","tertiary","no",4343,"no","no","unknown",9,"jun",85,4,-1,0,"unknown","no"
39,"entrepreneur","married","tertiary","no",83,"yes","no","cellular",11,"jul",193,2,-1,0,"unknown","no"
45,"entrepreneur","married","tertiary","no",0,"yes","no","cellular",29,"jul",100,3,-1,0,"unknown","no"
38,"entrepreneur","married","tertiary","no",228,"yes","no","cellular",5,"feb",105,1,-1,0,"unknown","no"
34,"entrepreneur","married","secondary","no",2,"yes","yes","cellular",5,"may",184,1,167,6,"failure","no"
39,"entrepreneur","married","tertiary","no",2644,"yes","no","unknown",20,"may",253,1,-1,0,"unknown","no"
43,"entrepreneur","married","tertiary","no",13342,"yes","no","cellular",18,"nov",465,1,-1,0,"unknown","no"
36,"entrepreneur","married","tertiary","no",1169,"yes","no","unknown",6,"may",168,2,-1,0,"unknown","no"
45,"entrepreneur","married","secondary","no",68,"yes","no","unknown",7,"may",254,1,-1,0,"unknown","no"
41,"entrepreneur","married","secondary","no",2105,"yes","no","cellular",18,"nov",134,1,-1,0,"unknown","no"
51,"entrepreneur","married","secondary","yes",-2082,"no","yes","cellular",28,"jul",123,6,-1,0,"unknown","no"
52,"entrepreneur","married","primary","no",592,"no","no","cellular",21,"jul",122,2,-1,0,"unknown","no"
37,"entrepreneur","single","secondary","no",654,"no","no","unknown",19,"may",594,2,-1,0,"unknown","no"
56,"entrepreneur","divorced","primary","no",29,"no","no","cellular",29,"jan",52,2,227,1,"failure","no"
45,"entrepreneur","divorced","tertiary","no",1273,"yes","yes","unknown",11,"jun",197,3,-1,0,"unknown","no"
31,"entrepreneur","married","tertiary","no",5191,"no","no","cellular",20,"nov",187,2,-1,0,"unknown","no"
53,"entrepreneur","married","tertiary","no",2289,"yes","yes","cellular",17,"nov",183,1,-1,0,"unknown","no"
53,"entrepreneur","married","tertiary","no",22370,"yes","no","unknown",15,"may",106,1,-1,0,"unknown","no"
50,"entrepreneur","married","secondary","no",1011,"yes","no","telephone",30,"jul",340,2,-1,0,"unknown","no"
56,"entrepreneur","married","unknown","no",575,"no","no","unknown",20,"jun",18,2,-1,0,"unknown","no"
47,"entrepreneur","married","tertiary","no",459,"yes","no","cellular",29,"jul",189,4,-1,0,"unknown","no"
36,"entrepreneur","married","tertiary","no",6,"no","no","telephone",30,"oct",246,1,-1,0,"unknown","no"
40,"entrepreneur","married","secondary","no",1532,"yes","yes","cellular",18,"nov",173,7,-1,0,"unknown","no"
57,"entrepreneur","divorced","secondary","yes",25,"yes","no","cellular",11,"may",652,1,370,4,"other","no"
38,"entrepreneur","married","tertiary","no",170,"yes","no","cellular",18,"may",442,1,-1,0,"unknown","yes"
43,"entrepreneur","married","tertiary","no",1574,"yes","no","cellular",19,"nov",167,3,-1,0,"unknown","no"
37,"entrepreneur","married","tertiary","no",836,"yes","no","unknown",27,"may",129,2,-1,0,"unknown","no"
38,"entrepreneur","married","tertiary","no",1514,"no","yes","cellular",21,"nov",160,3,120,3,"failure","no"
38,"entrepreneur","single","secondary","no",2543,"no","no","cellular",10,"aug",223,1,414,4,"failure","yes"
42,"entrepreneur","married","tertiary","no",42045,"no","no","cellular",8,"aug",205,2,-1,0,"unknown","no"
53,"entrepreneur","married","unknown","no",7,"no","no","cellular",20,"nov",68,1,-1,0,"unknown","no"
43,"entrepreneur","married","tertiary","no",210,"no","no","cellular",29,"jul",646,2,-1,0,"unknown","no"
34,"entrepreneur","married","tertiary","no",475,"yes","yes","cellular",9,"jul",1156,1,-1,0,"unknown","no"
45,"entrepreneur","married","secondary","no",128,"no","yes","cellular",18,"nov",275,2,-1,0,"unknown","no"
53,"entrepreneur","married","tertiary","no",71,"no","yes","cellular",29,"jan",86,1,-1,0,"unknown","no"
43,"entrepreneur","married","secondary","no",59,"no","no","unknown",13,"may",437,2,-1,0,"unknown","no"
50,"entrepreneur","married","secondary","no",806,"yes","yes","cellular",7,"may",141,8,297,2,"other","no"
49,"entrepreneur","married","secondary","no",1916,"no","yes","telephone",14,"jul",281,3,-1,0,"unknown","no"
32,"entrepreneur","married","primary","no",795,"no","no","cellular",8,"aug",131,3,-1,0,"unknown","no"
35,"entrepreneur","married","tertiary","no",2723,"yes","yes","cellular",8,"aug",275,4,-1,0,"unknown","no"
59,"entrepreneur","married","primary","no",0,"no","no","telephone",19,"nov",207,2,153,1,"failure","no"
49,"entrepreneur","married","primary","no",199,"no","no","unknown",13,"may",113,2,-1,0,"unknown","no"
34,"entrepreneur","married","secondary","no",1847,"yes","no","cellular",9,"apr",543,3,321,6,"failure","no"
42,"entrepreneur","married","primary","yes",66,"yes","yes","cellular",6,"feb",139,1,-1,0,"unknown","no"
40,"entrepreneur","married","secondary","no",1416,"yes","no","unknown",14,"may",210,2,-1,0,"unknown","no"
52,"entrepreneur","married","secondary","no",0,"no","no","cellular",7,"aug",82,2,-1,0,"unknown","no"
25,"entrepreneur","single","tertiary","no",16874,"yes","yes","cellular",15,"may",117,2,-1,0,"unknown","no"
39,"entrepreneur","married","unknown","no",98,"yes","no","telephone",15,"may",59,3,367,1,"other","no"
