"age","job","marital","education","default","balance","housing","loan","contact","day","month","duration","campaign","pdays","previous","poutcome","y"
35,"management","single","tertiary","no",1350,"yes","no","cellular",16,"apr",185,1,330,1,"failure","no"
30,"management","married","tertiary","no",1476,"yes","yes","unknown",3,"jun",199,4,-1,0,"unknown","no"
35,"management","single","tertiary","no",747,"no","no","cellular",23,"feb",141,2,176,3,"failure","no"
40,"management","married","tertiary","no",194,"no","yes","cellular",29,"aug",189,2,-1,0,"unknown","no"
38,"management","divorced","unknown","no",0,"yes","no","cellular",18,"nov",96,2,-1,0,"unknown","no"
42,"management","divorced","tertiary","no",16,"no","no","cellular",19,"nov",140,3,-1,0,"unknown","no"
41,"management","married","tertiary","no",5883,"no","no","cellular",20,"nov",182,2,-1,0,"unknown","no"
59,"management","married","secondary","no",42,"no","no","cellular",21,"nov",40,1,-1,0,"unknown","no"
32,"management","single","tertiary","no",2536,"yes","no","cellular",26,"aug",958,6,-1,0,"unknown","yes"
33,"management","married","secondary","no",3935,"yes","no","cellular",6,"may",765,1,342,2,"failure","yes"
38,"management","single","tertiary","no",11971,"yes","no","unknown",17,"nov",609,2,101,3,"failure","no"
36,"management","single","tertiary","no",553,"no","no","cellular",11,"aug",106,2,-1,0,"unknown","no"
34,"management","single","tertiary","no",872,"yes","no","unknown",7,"may",105,2,-1,0,"unknown","no"
57,"management","married","secondary","no",82,"no","yes","telephone",4,"feb",140,1,-1,0,"unknown","no"
48,"management","married","tertiary","no",5887,"no","no","cellular",13,"aug",227,2,-1,0,"unknown","no"
41,"management","married","secondary","no",0,"no","yes","cellular",7,"jul",630,3,-1,0,"unknown","no"
37,"management","married","tertiary","no",0,"no","no","cellular",16,"jul",268,2,182,3,"success","yes"
31,"management","single","tertiary","no",6248,"yes","no","unknown",9,"may",154,2,-1,0,"unknown","no"
54,"management","divorced","tertiary","no",3222,"no","no","cellular",14,"aug",67,2,-1,0,"unknown","no"
37,"management","married","tertiary","no",1315,"no","no","cellular",30,"jun",224,1,-1,0,"unknown","yes"
32,"management","single","tertiary","no",3616,"no","no","cellular",14,"aug",165,2,-1,0,"unknown","no"
38,"management","single","tertiary","no",493,"yes","no","cellular",11,"may",553,1,367,7,"failure","no"
34,"management","single","secondary","no",524,"no","no","unknown",13,"aug",9,1,-1,0,"unknown","no"
32,"management","single","tertiary","no",574,"yes","no","cellular",14,"apr",259,2,145,3,"failure","no"
58,"management","married","tertiary","no",1517,"yes","no","telephone",29,"jul",7,5,-1,0,"unknown","no"
46,"management","divorced","tertiary","no",25,"no","no","unknown",17,"jun",564,2,-1,0,"unknown","no"
51,"management","single","tertiary","yes",-55,"yes","no","cellular",11,"may",281,2,266,6,"failure","no"
33,"management","single","tertiary","no",0,"no","no","cellular",28,"aug",236,10,-1,0,"unknown","no"
34,"management","single","tertiary","no",0,"no","no","cellular",5,"feb",71,1,-1,0,"unknown","no"
52,"management","married","tertiary","no",-970,"yes","no","cellular",4,"feb",489,1,-1,0,"unknown","yes"
60,"management","married","unknown","no",6313,"no","no","unknown",19,"jun",39,2,-1,0,"unknown","no"
32,"management","divorced","tertiary","no",948,"no","no","cellular",12,"aug",204,2,-1,0,"unknown","no"
32,"management","single","tertiary","no",0,"yes","no","cellular",22,"jul",455,2,-1,0,"unknown","no"
31,"management","single","tertiary","no",874,"yes","no","cellular",18,"nov",190,2,-1,0,"unknown","no"
35,"management","married","tertiary","no",106,"no","yes","cellular",11,"aug",588,2,-1,0,"unknown","no"
36,"management","single","tertiary","no",442,"yes","yes","cellular",29,"jul",102,3,-1,0,"unknown","no"
28,"management","single","tertiary","no",80,"no","no","cellular",20,"oct",676,2,146,2,"failure","yes"
37,"management","single","tertiary","no",37,"no","no","cellular",28,"jan",253,2,-1,0,"unknown","no"
42,"management","married","tertiary","no",9009,"no","no","cellular",20,"nov",135,2,-1,0,"unknown","no"
30,"management","single","tertiary","no",1372,"no","no","cellular",20,"nov",240,2,-1,0,"unknown","no"
39,"management","divorced","tertiary","no",1315,"yes","no","cellular",19,"nov",1337,4,126,1,"failure","no"
31,"management","married","tertiary","yes",-253,"no","no","cellular",12,"aug",220,4,-1,0,"unknown","no"
42,"management","married","tertiary","no",372,"yes","no","cellular",3,"aug",654,2,-1,0,"unknown","yes"
54,"management","married","primary","no",1691,"yes","no","cellular",20,"nov",186,1,-1,0,"unknown","no"
44,"management","married","tertiary","no",3762,"no","no","cellular",28,"aug",125,12,-1,0,"unknown","no"
36,"management","married","tertiary","no",0,"yes","no","cellular",28,"jan",60,1,250,1,"other","no"
42,"management","married","secondary","no",-189,"yes","no","unknown",12,"may",247,2,-1,0,"unknown","no"
42,"management","married","tertiary","no",484,"yes","no","cellular",11,"jul",144,2,-1,0,"unknown","no"
31,"management","married","tertiary","no",395,"yes","no","cellular",9,"feb",155,3,-1,0,"unknown","no"
32,"management","married","tertiary","no",2349,"no","no","cellular",14,"aug",134,5,-1,0,"unknown","no"
34,"management","married","tertiary","no",415,"no","yes","cellular",23,"jul",361,2,-1,0,"unknown","no"
46,"management","married","secondary","no",12186,"no","no","unknown",20,"jun",29,3,-1,0,"unknown","no"
41,"management","married","tertiary","no",49,"yes","no","cellular",17,"jul",312,5,-1,0,"unknown","no"
47,"management","married","tertiary","no",3681,"no","no","cellular",14,"aug",101,2,-1,0,"unknown","no"
29,"management","married","tertiary","no",451,"no","no","cellular",28,"jan",451,1,-1,0,"unknown","no"
56,"management","married","unknown","no",353,"no","yes","cellular",25,"jul",171,2,-1,0,"unknown","no"
35,"management","married","tertiary","no",4286,"yes","no","unknown",9,"may",357,1,-1,0,"unknown","no"
55,"management","married","unknown","no",559,"no","no","cellular",28,"jan",271,2,-1,0,"unknown","no"
43,"management","married","tertiary","no",2,"no","yes","cellular",20,"aug",472,2,-1,0,"unknown","no"
38,"management","married","tertiary","no",1199,"no","no","cellular",4,"aug",178,1,1,1,"success","yes"
30,"management","single","tertiary","no",424,"no","no","cellular",16,"apr",298,4,-1,0,"unknown","yes"
47,"management","divorced","tertiary","no",447,"no","yes","unknown",7,"may",126,1,-1,0,"unknown","no"
33,"management","single","tertiary","no",1410,"yes","no","cellular",5,"feb",8,1,254,5,"failure","no"
41,"management","married","tertiary","no",832,"yes","yes","cellular",21,"nov",164,1,176,1,"failure","no"
60,"management","single","tertiary","no",0,"no","yes","cellular",23,"jul",151,1,-1,0,"unknown","no"
37,"management","single","unknown","no",504,"yes","no","cellular",16,"apr",555,1,-1,0,"unknown","no"
57,"management","married","tertiary","no",1602,"no","no","cellular",29,"jul",339,3,-1,0,"unknown","no"
55,"management","married","primary","no",2587,"no","no","cellular",4,"sep",328,2,94,2,"success","yes"
35,"management","married","tertiary","yes",32,"yes","no","cellular",21,"nov",180,1,-1,0,"unknown","no"
39,"management","married","tertiary","no",278,"no","yes","cellular",28,"jul",60,3,-1,0,"unknown","no"
50,"management","married","tertiary","no",4,"no","no","cellular",17,"nov",223,1,96,2,"failure","no"
29,"management","married","tertiary","no",318,"yes","no","cellular",18,"may",1434,2,356,4,"failure","no"
27,"management","single","unknown","no",3196,"no","no","cellular",9,"feb",10,2,-1,0,"unknown","no"
36,"management","single","tertiary","no",339,"no","no","cellular",21,"nov",6,6,-1,0,"unknown","no"
45,"management","married","tertiary","no",5450,"no","no","cellular",8,"aug",188,2,-1,0,"unknown","no"
32,"management","single","tertiary","no",8436,"yes","no","cellular",17,"apr",245,1,149,2,"failure","no"
40,"management","married","primary","no",733,"yes","no","unknown",6,"jun",94,7,-1,0,"unknown","no"
37,"management","married","tertiary","no",393,"yes","no","cellular",14,"may",567,3,275,4,"failure","yes"
48,"management","married","tertiary","no",6613,"no","no","unknown",17,"jun",159,3,-1,0,"unknown","no"
33,"management","single","tertiary","no",1240,"yes","no","cellular",4,"feb",505,2,260,1,"other","no"
44,"management","married","secondary","no",438,"yes","no","telephone",8,"may",37,3,303,1,"failure","no"
49,"management","married","tertiary","no",322,"no","no","cellular",6,"aug",72,4,-1,0,"unknown","no"
42,"management","married","tertiary","no",0,"no","no","cellular",13,"aug",325,2,-1,0,"unknown","no"
49,"management","divorced","tertiary","no",755,"no","no","cellular",31,"jul",1212,4,-1,0,"unknown","yes"
37,"management","married","tertiary","no",502,"yes","no","cellular",7,"may",551,1,351,1,"failure","no"
37,"management","single","tertiary","no",876,"yes","no","cellular",15,"apr",140,4,327,2,"failure","no"
40,"management","married","tertiary","no",542,"yes","no","cellular",20,"nov",1816,1,-1,0,"unknown","no"
53,"management","married","primary","no",995,"no","no","cellular",4,"feb",200,3,-1,0,"unknown","no"
29,"management","married","tertiary","no",20,"yes","no","cellular",12,"may",418,1,-1,0,"unknown","no"
56,"management","married","tertiary","no",217,"no","yes","cellular",21,"jul",121,2,-1,0,"unknown","no"
36,"management","married","secondary","no",644,"yes","no","cellular",18,"nov",54,2,-1,0,"unknown","no"
44,"management","married","tertiary","no",22,"yes","no","cellular",6,"aug",265,2,-1,0,"unknown","no"
30,"management","married","tertiary","no",1221,"yes","no","telephone",25,"jul",279,4,-1,0,"unknown","yes"
44,"management","married","tertiary","no",795,"no","no","cellular",28,"aug",99,24,-1,0,"unknown","no"
43,"management","divorced","tertiary","no",36,"no","no","cellular",26,"may",118,1,102,2,"failure","no"
45,"management","divorced","tertiary","no",0,"no","no","unknown",1,"jun",5,1,-1,0,"unknown","no"
39,"management","married","tertiary","no",-606,"yes","no","unknown",26,"may",142,1,-1,0,"unknown","no"
40,"management","single","secondary","no",10378,"yes","no","cellular",17,"nov",523,3,-1,0,"unknown","no"
40,"management","married","tertiary","no",8969,"yes","no","cellular",17,"nov",153,1,-1,0,"unknown","no"
41,"management","married","tertiary","no",666,"yes","no","unknown",21,"may",253,3,-1,0,"unknown","no"
37,"management","single","unknown","no",715,"yes","no","unknown",20,"may",247,2,-1,0,"unknown","no"
56,"management","single","secondary","no",237,"yes","no","telephone",9,"jul",236,4,-1,0,"unknown","no"
40,"management","married","tertiary","no",0,"no","no","cellular",14,"jul",109,8,-1,0,"unknown","no"
54,"management","married","tertiary","no",55,"yes","no","cellular",2,"jun",112,2,-1,0,"unknown","no"
33,"management","married","tertiary","no",641,"yes","no","cellular",13,"aug",347,2,-1,0,"unknown","no"
48,"management","divorced","tertiary","no",1328,"yes","no","unknown",6,"may",339,1,-1,0,"unknown","no"
42,"management","single","tertiary","no",515,"yes","no","cellular",19,"nov",501,2,-1,0,"unknown","no"
32,"management","single","tertiary","no",12607,"no","no","cellular",14,"aug",203,5,84,1,"failure","no"
31,"management","married","tertiary","no",13,"no","no","cellular",28,"aug",110,5,-1,0,"unknown","no"
41,"management","married","tertiary","no",3872,"no","no","cellular",15,"oct",231,1,-1,0,"unknown","no"
32,"management","married","tertiary","no",820,"yes","no","cellular",17,"jul",738,3,-1,0,"unknown","no"
48,"management","divorced","tertiary","no",108,"yes","no","unknown",27,"may",89,2,-1,0,"unknown","no"
36,"management","married","tertiary","no",-381,"yes","no","cellular",31,"jul",30,29,-1,0,"unknown","no"
34,"management","married","tertiary","no",902,"yes","no","cellular",14,"may",159,1,367,2,"other","no"
40,"management","married","tertiary","no",1584,"yes","no","telephone",21,"nov",661,1,-1,0,"unknown","no"
58,"management","married","primary","no",76,"yes","no","telephone",18,"may",54,4,-1,0,"unknown","no"
45,"management","married","tertiary","no",1529,"no","no","cellular",30,"jun",160,1,-1,0,"unknown","no"
26,"management","single","secondary","no",63,"no","no","cellular",28,"jul",76,4,-1,0,"unknown","no"
54,"management","married","tertiary","no",0,"no","no","cellular",16,"jul",118,5,-1,0,"unknown","no"
39,"management","single","tertiary","no",12437,"no","no","telephone",18,"nov",40,1,-1,0,"unknown","no"
43,"management","single","tertiary","no",1304,"no","no","cellular",6,"aug",501,2,-1,0,"unknown","yes"
36,"management","divorced","tertiary","no",3611,"yes","no","unknown",4,"jun",347,3,-1,0,"unknown","no"
53,"management","married","tertiary","no",1319,"yes","no","cellular",16,"apr",427,1,150,1,"failure","no"
38,"management","married","tertiary","no",-558,"yes","no","cellular",21,"jul",533,1,-1,0,"unknown","no"
29,"management","married","tertiary","no",361,"yes","yes","cellular",28,"jul",819,3,-1,0,"unknown","no"
33,"management","single","tertiary","no",-53,"no","no","cellular",29,"jan",617,2,-1,0,"unknown","no"
43,"management","divorced","tertiary","no",38,"yes","no","cellular",25,"jul",197,6,-1,0,"unknown","no"
28,"management","single","tertiary","no",231,"yes","yes","cellular",25,"jul",568,2,-1,0,"unknown","no"
31,"management","single","secondary","no",36,"no","no","cellular",27,"aug",105,2,-1,0,"unknown","no"
40,"management","single","tertiary","no",1509,"no","no","cellular",12,"may",333,1,58,3,"failure","no"
33,"management","single","tertiary","no",9449,"yes","no","cellular",8,"may",428,1,-1,0,"unknown","no"
59,"management","married","tertiary","no",2764,"no","no","cellular",24,"dec",237,1,206,2,"failure","no"
30,"management","single","tertiary","no",2,"yes","yes","cellular",25,"jul",1031,8,-1,0,"unknown","yes"
33,"management","divorced","tertiary","yes",280,"no","yes","cellular",18,"nov",155,1,-1,0,"unknown","no"
27,"management","single","tertiary","no",703,"yes","no","unknown",5,"jun",590,3,-1,0,"unknown","yes"
39,"management","married","tertiary","no",2763,"yes","no","unknown",2,"jun",526,2,-1,0,"unknown","yes"
46,"management","divorced","tertiary","no",6269,"yes","no","telephone",18,"nov",249,3,112,2,"failure","no"
60,"management","married","primary","no",252,"yes","yes","cellular",13,"apr",123,2,147,3,"failure","no"
40,"management","married","tertiary","no",-117,"yes","no","cellular",17,"jul",770,2,-1,0,"unknown","no"
28,"management","single","tertiary","no",0,"yes","no","cellular",16,"jul",767,5,-1,0,"unknown","yes"
32,"management","married","tertiary","no",0,"no","no","cellular",19,"nov",66,1,-1,0,"unknown","no"
55,"management","married","primary","no",621,"no","yes","cellular",2,"feb",114,1,208,1,"failure","no"
33,"management","married","tertiary","no",1808,"yes","no","unknown",4,"jun",99,4,-1,0,"unknown","no"
58,"management","single","tertiary","no",2,"yes","no","telephone",11,"may",168,3,-1,0,"unknown","no"
47,"management","married","tertiary","no",7708,"yes","no","cellular",21,"nov",157,5,-1,0,"unknown","no"
80,"management","married","primary","no",6483,"no","no","telephone",19,"oct",123,1,-1,0,"unknown","no"
49,"management","married","tertiary","no",1430,"no","no","cellular",18,"nov",231,2,-1,0,"unknown","no"
32,"management","divorced","tertiary","no",874,"no","no","cellular",12,"aug",1282,6,-1,0,"unknown","yes"
56,"management","single","tertiary","no",15311,"no","no","cellular",29,"apr",157,6,-1,0,"unknown","no"
40,"management","married","tertiary","no",10786,"no","no","unknown",20,"jun",111,3,-1,0,"unknown","no"
32,"management","married","tertiary","no",55,"no","no","cellular",2,"feb",124,3,-1,0,"unknown","no"
31,"management","married","tertiary","no",1010,"yes","no","cellular",15,"may",385,3,364,9,"other","no"
37,"management","single","tertiary","no",509,"yes","no","cellular",6,"may",133,1,-1,0,"unknown","no"
47,"management","single","tertiary","no",153,"yes","no","cellular",18,"nov",192,2,-1,0,"unknown","no"
50,"management","married","tertiary","no",3463,"no","yes","cellular",28,"oct",96,1,-1,0,"unknown","yes"
