"age","job","marital","education","default","balance","housing","loan","contact","day","month","duration","campaign","pdays","previous","poutcome","y"
67,"retired","married","unknown","no",696,"no","no","telephone",17,"aug",119,1,105,2,"failure","no"
68,"retired","divorced","secondary","no",4189,"no","no","telephone",14,"jul",897,2,-1,0,"unknown","yes"
78,"retired","divorced","primary","no",229,"no","no","telephone",22,"oct",97,1,-1,0,"unknown","yes"
36,"retired","single","secondary","no",101,"yes","yes","unknown",26,"may",314,1,-1,0,"unknown","no"
63,"retired","married","secondary","no",415,"yes","no","cellular",7,"oct",323,1,-1,0,"unknown","no"
56,"retired","married","secondary","no",344,"yes","no","unknown",15,"may",221,1,-1,0,"unknown","no"
60,"retired","married","primary","no",5,"no","no","cellular",26,"aug",63,2,-1,0,"unknown","no"
77,"retired","divorced","tertiary","no",4659,"no","no","cellular",14,"apr",161,1,-1,0,"unknown","yes"
56,"retired","married","primary","no",1906,"no","yes","unknown",19,"jun",45,9,-1,0,"unknown","no"
56,"retired","married","secondary","no",-1206,"yes","no","cellular",15,"jun",382,2,-1,0,"unknown","yes"
57,"retired","divorced","secondary","no",39,"yes","no","cellular",30,"jul",354,3,-1,0,"unknown","no"
75,"retired","married","secondary","no",3771,"no","no","telephone",15,"apr",185,1,181,2,"success","yes"
56,"retired","married","secondary","no",1333,"no","no","cellular",28,"aug",17,14,-1,0,"unknown","no"
53,"retired","married","tertiary","no",-22,"yes","no","cellular",31,"jul",20,3,-1,0,"unknown","no"
58,"retired","married","primary","no",3401,"yes","no","cellular",3,"feb",84,3,265,2,"failure","no"
70,"retired","divorced","primary","no",4531,"no","no","cellular",18,"may",445,1,-1,0,"unknown","no"
65,"retired","divorced","primary","no",1840,"no","no","cellular",1,"jun",383,2,188,5,"failure","no"
63,"retired","married","primary","no",1084,"no","no","cellular",14,"oct",201,1,183,1,"success","no"
56,"retired","married","tertiary","no",478,"no","no","cellular",5,"feb",97,1,-1,0,"unknown","no"
60,"retired","married","primary","no",55,"no","no","cellular",4,"jun",207,1,-1,0,"unknown","no"
59,"retired","married","tertiary","no",9676,"no","no","telephone",27,"mar",234,2,-1,0,"unknown","yes"
64,"retired","married","unknown","no",2923,"no","no","cellular",12,"mar",120,1,-1,0,"unknown","no"
48,"retired","married","primary","yes",-285,"no","yes","cellular",19,"nov",157,1,-1,0,"unknown","no"
75,"retired","divorced","tertiary","no",3810,"yes","no","cellular",16,"nov",262,1,183,1,"failure","yes"
62,"retired","married","secondary","no",816,"no","no","cellular",1,"sep",28,2,-1,0,"unknown","no"
66,"retired","married","tertiary","no",2262,"no","no","cellular",22,"apr",155,1,-1,0,"unknown","no"
77,"retired","married","tertiary","no",7802,"no","no","telephone",4,"may",421,1,92,2,"success","yes"
61,"retired","married","secondary","no",5207,"no","no","cellular",11,"sep",336,1,81,2,"other","no"
57,"retired","married","primary","no",5799,"no","no","unknown",17,"jun",97,1,-1,0,"unknown","no"
63,"retired","married","secondary","no",2747,"no","no","cellular",11,"sep",113,1,80,1,"failure","no"
81,"retired","married","secondary","no",1,"no","no","cellular",19,"aug",65,5,-1,0,"unknown","no"
58,"retired","married","unknown","no",937,"no","no","cellular",5,"aug",155,1,-1,0,"unknown","no"
60,"retired","divorced","unknown","no",-49,"yes","no","cellular",29,"jan",188,1,261,2,"failure","no"
58,"retired","divorced","tertiary","no",264,"yes","yes","cellular",8,"jul",523,3,-1,0,"unknown","no"
57,"retired","married","secondary","no",374,"yes","yes","cellular",16,"jul",236,1,-1,0,"unknown","no"
