"age","job","marital","education","default","balance","housing","loan","contact","day","month","duration","campaign","pdays","previous","poutcome","y"
33,"services","married","secondary","no",4789,"yes","yes","cellular",11,"may",220,1,339,4,"failure","no"
43,"services","married","primary","no",-88,"yes","yes","cellular",17,"apr",313,1,147,2,"failure","no"
39,"services","married","secondary","no",9374,"yes","no","unknown",20,"may",273,1,-1,0,"unknown","no"
31,"services","married","secondary","no",132,"no","no","cellular",7,"jul",148,1,152,1,"other","no"
44,"services","single","secondary","no",106,"no","no","unknown",12,"jun",109,2,-1,0,"unknown","no"
23,"services","single","tertiary","no",363,"yes","no","unknown",30,"may",16,18,-1,0,"unknown","no"
48,"services","married","secondary","no",1355,"no","no","cellular",4,"jul",134,2,-1,0,"unknown","no"
31,"services","married","secondary","no",338,"yes","no","cellular",28,"jan",155,1,-1,0,"unknown","no"
41,"services","married","tertiary","no",412,"yes","no","unknown",3,"jun",154,5,-1,0,"unknown","no"
52,"services","married","secondary","no",657,"no","no","telephone",7,"jul",398,2,460,2,"failure","yes"
27,"services","single","secondary","no",-195,"yes","no","cellular",18,"may",391,1,-1,0,"unknown","yes"
57,"services","single","primary","no",3777,"yes","no","telephone",13,"may",65,2,-1,0,"unknown","no"
30,"services","married","secondary","no",1808,"yes","no","cellular",18,"may",83,2,-1,0,"unknown","no"
56,"services","divorced","unknown","no",1877,"yes","no","unknown",30,"may",86,1,-1,0,"unknown","no"
43,"services","married","secondary","no",978,"yes","yes","unknown",26,"may",82,2,-1,0,"unknown","no"
32,"services","single","secondary","no",0,"no","yes","cellular",11,"jul",333,2,-1,0,"unknown","no"
34,"services","married","secondary","no",-62,"yes","no","unknown",16,"jun",109,3,-1,0,"unknown","no"
37,"services","single","secondary","no",21,"yes","no","cellular",2,"feb",96,1,271,2,"other","no"
36,"services","married","secondary","no",1981,"no","no","unknown",17,"jun",48,2,-1,0,"unknown","no"
38,"services","married","secondary","no",1,"no","yes","cellular",21,"nov",152,2,-1,0,"unknown","no"
38,"services","single","secondary","no",-196,"yes","no","cellular",2,"feb",60,1,271,1,"failure","no"
49,"services","married","secondary","no",400,"no","no","cellular",21,"aug",151,3,-1,0,"unknown","no"
32,"services","single","secondary","no",406,"yes","no","unknown",6,"may",227,1,-1,0,"unknown","no"
56,"services","divorced","secondary","no",1007,"no","no","cellular",29,"jul",88,6,-1,0,"unknown","no"
40,"services","married","secondary","no",0,"yes","no","cellular",2,"jun",297,1,28,3,"failure","no"
53,"services","married","secondary","no",4994,"no","no","cellular",18,"aug",62,6,-1,0,"unknown","no"
32,"services","married","primary","no",228,"yes","no","cellular",21,"jul",1017,6,-1,0,"unknown","yes"
30,"services","single","secondary","no",209,"yes","no","unknown",6,"may",30,2,-1,0,"unknown","no"
