"age","job","marital","education","default","balance","housing","loan","contact","day","month","duration","campaign","pdays","previous","poutcome","y"
20,"student","single","secondary","no",502,"no","no","cellular",30,"apr",261,1,-1,0,"unknown","yes"
21,"student","single","secondary","no",2488,"no","no","cellular",30,"jun",258,6,169,3,"success","yes"
25,"student","single","secondary","no",331,"no","no","telephone",26,"aug",170,4,-1,0,"unknown","yes"
23,"student","single","secondary","no",9216,"no","no","cellular",5,"jun",471,2,-1,0,"unknown","no"
30,"student","single","secondary","no",3096,"no","no","cellular",26,"jan",123,1,-1,0,"unknown","no"
29,"student","single","secondary","no",872,"yes","no","unknown",7,"may",230,1,-1,0,"unknown","no"
40,"student","married","secondary","no",260,"no","no","unknown",20,"jun",197,6,-1,0,"unknown","no"
26,"student","single","secondary","no",2572,"yes","no","cellular",5,"may",620,1,-1,0,"unknown","no"
23,"student","single","secondary","no",780,"no","no","cellular",16,"sep",267,1,-1,0,"unknown","no"
19,"student","single","primary","no",103,"no","no","cellular",10,"jul",104,2,-1,0,"unknown","yes"
28,"student","single","secondary","no",378,"yes","no","cellular",17,"apr",346,1,-1,0,"unknown","no"
28,"student","single","secondary","no",11555,"no","no","cellular",8,"apr",125,2,-1,0,"unknown","no"
28,"student","single","secondary","no",459,"no","no","cellular",16,"mar",83,13,-1,0,"unknown","no"
22,"student","single","tertiary","no",1161,"no","yes","cellular",16,"jun",119,1,-1,0,"unknown","no"
25,"student","single","secondary","no",1790,"no","no","cellular",17,"apr",224,1,322,3,"failure","no"
29,"student","single","unknown","no",2929,"no","no","cellular",11,"aug",91,1,-1,0,"unknown","no"
23,"student","married","tertiary","yes",-230,"yes","no","cellular",18,"may",259,2,-1,0,"unknown","no"
26,"student","single","secondary","no",279,"no","no","cellular",7,"may",239,3,-1,0,"unknown","no"
34,"student","single","unknown","no",1281,"no","no","cellular",25,"aug",279,1,117,1,"failure","no"
27,"student","single","tertiary","no",5291,"no","no","cellular",12,"nov",192,2,92,2,"failure","yes"
20,"student","single","secondary","no",291,"no","no","telephone",11,"may",172,5,371,5,"failure","no"
23,"student","single","secondary","no",8494,"no","no","cellular",25,"aug",158,2,-1,0,"unknown","no"
22,"student","single","unknown","no",549,"no","no","cellular",2,"sep",154,1,-1,0,"unknown","no"
25,"student","single","secondary","no",1116,"yes","no","cellular",2,"mar",170,3,-1,0,"unknown","no"
37,"student","married","unknown","no",0,"no","no","unknown",18,"jun",115,1,-1,0,"unknown","no"
