"age","job","marital","education","default","balance","housing","loan","contact","day","month","duration","campaign","pdays","previous","poutcome","y"
39,"technician","married","secondary","no",147,"yes","no","cellular",6,"may",151,2,-1,0,"unknown","no"
36,"technician","married","tertiary","no",1109,"no","no","cellular",13,"aug",328,2,-1,0,"unknown","no"
56,"technician","married","secondary","no",4073,"no","no","cellular",27,"aug",239,5,-1,0,"unknown","no"
31,"technician","married","secondary","no",171,"no","no","cellular",27,"aug",81,3,-1,0,"unknown","no"
49,"technician","married","tertiary","no",1235,"no","no","cellular",13,"aug",354,3,-1,0,"unknown","yes"
32,"technician","married","tertiary","no",396,"yes","no","cellular",13,"may",205,3,-1,0,"unknown","no"
32,"technician","single","tertiary","no",2204,"yes","no","cellular",21,"nov",11,4,-1,0,"unknown","no"
37,"technician","single","secondary","no",228,"yes","no","cellular",20,"aug",1740,2,-1,0,"unknown","no"
38,"technician","single","secondary","no",50,"no","no","cellular",29,"aug",98,2,-1,0,"unknown","no"
34,"technician","married","tertiary","no",1539,"yes","no","cellular",15,"jun",441,1,56,1,"other","yes"
54,"technician","divorced","secondary","no",784,"yes","yes","unknown",15,"may",579,1,-1,0,"unknown","no"
29,"technician","married","secondary","no",444,"yes","no","cellular",21,"jul",130,4,-1,0,"unknown","no"
32,"technician","single","tertiary","no",360,"no","no","cellular",19,"nov",164,2,-1,0,"unknown","no"
40,"technician","single","secondary","no",591,"no","yes","cellular",14,"aug",87,6,-1,0,"unknown","no"
41,"technician","single","secondary","no",879,"no","yes","cellular",7,"jul",60,4,-1,0,"unknown","no"
49,"technician","married","secondary","no",5996,"no","no","telephone",21,"nov",345,2,-1,0,"unknown","no"
25,"technician","single","secondary","no",505,"no","yes","cellular",17,"nov",386,2,-1,0,"unknown","yes"
32,"technician","married","secondary","no",2693,"yes","no","unknown",21,"may",16,1,-1,0,"unknown","no"
45,"technician","single","secondary","no",586,"no","yes","cellular",28,"jul",32,3,-1,0,"unknown","no"
27,"technician","single","secondary","no",769,"yes","no","unknown",9,"may",317,2,-1,0,"unknown","no"
48,"technician","married","secondary","no",1152,"yes","no","cellular",21,"jul",168,5,-1,0,"unknown","no"
37,"technician","single","unknown","no",391,"yes","no","unknown",8,"may",103,3,-1,0,"unknown","no"
39,"technician","married","secondary","no",501,"no","no","unknown",26,"may",289,1,-1,0,"unknown","no"
35,"technician","divorced","secondary","no",308,"no","no","cellular",22,"aug",77,2,-1,0,"unknown","no"
55,"technician","married","secondary","no",273,"yes","no","cellular",29,"jan",84,3,183,3,"failure","no"
34,"technician","married","secondary","no",1641,"yes","no","cellular",17,"apr",380,1,-1,0,"unknown","no"
