"age","job","marital","education","default","balance","housing","loan","contact","day","month","duration","campaign","pdays","previous","poutcome","y"
30,"unemployed","married","primary","no",1787,"no","no","cellular",19,"oct",79,1,-1,0,"unknown","no"
40,"unemployed","married","secondary","no",219,"yes","no","cellular",17,"nov",204,2,196,1,"failure","no"
31,"unemployed","single","primary","no",406,"no","no","cellular",4,"feb",736,1,-1,0,"unknown","yes"
56,"unemployed","married","primary","no",3391,"no","no","cellular",21,"apr",243,1,-1,0,"unknown","yes"
24,"unemployed","single","secondary","no",119,"no","no","unknown",15,"sep",51,1,-1,0,"unknown","no"
45,"unemployed","divorced","primary","yes",-249,"yes","yes","unknown",1,"jul",92,1,-1,0,"unknown","no"
51,"unemployed","married","tertiary","no",1634,"yes","no","cellular",22,"jul",168,4,-1,0,"unknown","no"
32,"unemployed","single","secondary","no",0,"no","no","cellular",27,"may",123,2,-1,0,"unknown","no"
28,"unemployed","single","secondary","no",16,"no","no","cellular",12,"aug",119,4,-1,0,"unknown","no"
38,"unemployed","married","primary","no",1147,"yes","yes","unknown",8,"may",249,5,-1,0,"unknown","no"
26,"unemployed","single","secondary","no",1064,"no","no","unknown",31,"may",113,1,-1,0,"unknown","no"
51,"unemployed","married","secondary","no",1760,"no","yes","cellular",19,"nov",162,1,-1,0,"unknown","no"
35,"unemployed","married","secondary","no",978,"no","no","cellular",29,"dec",1370,3,209,3,"success","yes"
55,"unemployed","married","tertiary","no",383,"no","no","unknown",6,"may",343,3,-1,0,"unknown","no"
31,"unemployed","married","secondary","no",296,"yes","no","unknown",20,"may",378,3,-1,0,"unknown","no"
45,"unemployed","divorced","primary","no",757,"no","no","cellular",20,"apr",103,1,325,4,"failure","no"
49,"unemployed","divorced","secondary","no",66,"no","no","cellular",9,"jul",218,3,-1,0,"unknown","no"
59,"unemployed","married","primary","no",0,"no","no","cellular",30,"jan",3025,2,-1,0,"unknown","no"
37,"unemployed","single","tertiary","yes",0,"yes","no","cellular",10,"jul",108,1,-1,0,"unknown","no"
51,"unemployed","single","tertiary","no",1594,"no","no","telephone",4,"feb",197,1,-1,0,"unknown","no"
41,"unemployed","divorced","secondary","no",1281,"no","no","cellular",31,"jul",45,3,-1,0,"unknown","no"
33,"unemployed","married","secondary","no",2,"yes","no","cellular",16,"jul",132,1,-1,0,"unknown","no"
47,"unemployed","married","primary","no",168,"yes","no","telephone",30,"jan",66,1,241,1,"other","no"
50,"unemployed","married","secondary","no",1772,"no","no","cellular",29,"jul",206,4,-1,0,"unknown","no"
27,"unemployed","single","secondary","no",3276,"no","no","cellular",5,"aug",106,1,110,2,"other","no"
44,"unemployed","married","tertiary","no",178,"no","no","cellular",8,"aug",126,2,-1,0,"unknown","no"
30,"unemployed","married","tertiary","no",0,"yes","no","cellular",18,"nov",756,1,-1,0,"unknown","no"
26,"unemployed","married","tertiary","no",454,"yes","yes","unknown",23,"may",28,18,-1,0,"unknown","no"
29,"unemployed","single","tertiary","no",991,"no","no","cellular",5,"feb",563,1,-1,0,"unknown","no"
35,"unemployed","married","secondary","no",977,"yes","no","cellular",4,"may",52,4,91,1,"other","no"
32,"unemployed","divorced","primary","no",0,"no","no","cellular",15,"jul",175,4,-1,0,"unknown","no"
54,"unemployed","married","primary","no",541,"yes","no","cellular",3,"feb",237,3,-1,0,"unknown","no"
