"age","job","marital","education","default","balance","housing","loan","day","month","duration","campaign","pdays","previous","y"
30,"unemployed","married","primary","no",2054.02298850575,"no","no",19,"oct",79,1,-1,0,"no"
33,"services","married","secondary","no",5504.59770114943,"yes","yes",11,"may",220,1,339,4,"no"
35,"management","single","tertiary","no",1551.72413793103,"yes","no",16,"apr",185,1,330,1,"no"
30,"management","married","tertiary","no",1696.55172413793,"yes","yes",3,"jun",199,4,-1,0,"no"
59,"blue-collar","married","secondary","no",0,"yes","no",5,"may",226,1,-1,0,"no"
35,"management","single","tertiary","no",858.620689655172,"no","no",23,"feb",141,2,176,3,"no"
36,"self-employed","married","tertiary","no",352.873563218391,"yes","no",14,"may",341,1,330,2,"no"
39,"technician","married","secondary","no",168.965517241379,"yes","no",6,"may",151,2,-1,0,"no"
41,"entrepreneur","married","tertiary","no",254.022988505747,"yes","no",14,"may",57,2,-1,0,"no"
43,"services","married","primary","no",-101.149425287356,"yes","yes",17,"apr",313,1,147,2,"no"
39,"services","married","secondary","no",10774.7126436782,"yes","no",20,"may",273,1,-1,0,"no"
43,"admin.","married","secondary","no",303.448275862069,"yes","no",17,"apr",113,2,-1,0,"no"
36,"technician","married","tertiary","no",1274.71264367816,"no","no",13,"aug",328,2,-1,0,"no"
20,"student","single","secondary","no",577.011494252874,"no","no",30,"apr",261,1,-1,0,"yes"
31,"blue-collar","married","secondary","no",413.793103448276,"yes","yes",29,"jan",89,1,241,1,"no"
40,"management","married","tertiary","no",222.988505747126,"no","yes",29,"aug",189,2,-1,0,"no"
56,"technician","married","secondary","no",4681.6091954023,"no","no",27,"aug",239,5,-1,0,"no"
37,"admin.","single","tertiary","no",2663.2183908046,"yes","no",20,"apr",114,1,152,2,"no"
25,"blue-collar","single","primary","no",-254.022988505747,"yes","no",23,"may",250,1,-1,0,"no"
31,"services","married","secondary","no",151.724137931034,"no","no",7,"jul",148,1,152,1,"no"
38,"management","divorced","unknown","no",0,"yes","no",18,"nov",96,2,-1,0,"no"
42,"management","divorced","tertiary","no",18.3908045977011,"no","no",19,"nov",140,3,-1,0,"no"
44,"services","single","secondary","no",121.83908045977,"no","no",12,"jun",109,2,-1,0,"no"
44,"entrepreneur","married","secondary","no",106.896551724138,"no","no",7,"jul",125,2,-1,0,"no"
26,"housemaid","married","tertiary","no",624.137931034483,"no","no",30,"jan",169,3,-1,0,"no"
41,"management","married","tertiary","no",6762.06896551724,"no","no",20,"nov",182,2,-1,0,"no"
55,"blue-collar","married","primary","no",720.689655172414,"yes","no",5,"may",247,1,-1,0,"no"
67,"retired","married","unknown","no",800,"no","no",17,"aug",119,1,105,2,"no"
56,"self-employed","married","secondary","no",901.149425287356,"no","yes",30,"jul",149,2,-1,0,"no"
53,"admin.","married","secondary","no",120.689655172414,"no","yes",21,"aug",74,2,-1,0,"no"
68,"retired","divorced","secondary","no",4814.94252873563,"no","no",14,"jul",897,2,-1,0,"yes"
31,"technician","married","secondary","no",196.551724137931,"no","no",27,"aug",81,3,-1,0,"no"
59,"management","married","secondary","no",48.2758620689655,"no","no",21,"nov",40,1,-1,0,"no"
32,"management","single","tertiary","no",2914.94252873563,"yes","no",26,"aug",958,6,-1,0,"yes"
49,"technician","married","tertiary","no",1419.54022988506,"no","no",13,"aug",354,3,-1,0,"yes"
42,"admin.","divorced","secondary","no",2081.6091954023,"yes","no",14,"may",150,1,-1,0,"no"
78,"retired","divorced","primary","no",263.218390804598,"no","no",22,"oct",97,1,-1,0,"yes"
32,"blue-collar","married","secondary","no",2401.14942528736,"yes","no",14,"nov",132,1,-1,0,"yes"
33,"management","married","secondary","no",4522.98850574713,"yes","no",6,"may",765,1,342,2,"yes"
23,"services","single","tertiary","no",417.241379310345,"yes","no",30,"may",16,18,-1,0,"no"
38,"management","single","tertiary","no",13759.7701149425,"yes","no",17,"nov",609,2,101,3,"no"
36,"management","single","tertiary","no",635.632183908046,"no","no",11,"aug",106,2,-1,0,"no"
52,"blue-collar","married","secondary","no",1283.90804597701,"yes","no",13,"may",365,1,-1,0,"no"
32,"technician","married","tertiary","no",455.172413793103,"yes","no",13,"may",205,3,-1,0,"no"
32,"technician","single","tertiary","no",2533.33333333333,"yes","no",21,"nov",11,4,-1,0,"no"
34,"management","single","tertiary","no",1002.29885057471,"yes","no",7,"may",105,2,-1,0,"no"
55,"blue-collar","married","primary","no",166.666666666667,"no","no",2,"feb",59,3,5,2,"no"
26,"blue-collar","married","primary","no",0,"yes","no",21,"may",425,1,-1,0,"no"
32,"entrepreneur","single","primary","yes",-975.862068965517,"yes","yes",4,"feb",204,1,-1,0,"no"
61,"admin.","married","unknown","no",5320.68965517241,"yes","no",27,"jan",181,1,92,1,"yes"
45,"blue-collar","divorced","primary","no",970.114942528736,"no","no",5,"jun",1018,3,-1,0,"yes"
37,"technician","single","secondary","no",262.068965517241,"yes","no",20,"aug",1740,2,-1,0,"no"
38,"technician","single","secondary","no",57.4712643678161,"no","no",29,"aug",98,2,-1,0,"no"
34,"technician","married","tertiary","no",1768.96551724138,"yes","no",15,"jun",441,1,56,1,"yes"
53,"blue-collar","married","secondary","no",2564.36781609195,"yes","no",14,"jul",272,3,-1,0,"no"
48,"admin.","married","secondary","no",3521.83908045977,"yes","no",15,"jul",159,2,-1,0,"no"
57,"management","married","secondary","no",94.2528735632184,"no","yes",4,"feb",140,1,-1,0,"no"
33,"self-employed","single","tertiary","no",2477.01149425287,"no","no",17,"nov",295,1,-1,0,"no"
36,"retired","single","secondary","no",116.091954022989,"yes","yes",26,"may",314,1,-1,0,"no"
54,"technician","divorced","secondary","no",901.149425287356,"yes","yes",15,"may",579,1,-1,0,"no"
41,"blue-collar","married","primary","no",-593.103448275862,"no","yes",8,"jul",554,3,-1,0,"no"
63,"retired","married","secondary","no",477.011494252874,"yes","no",7,"oct",323,1,-1,0,"no"
48,"management","married","tertiary","no",6766.66666666667,"no","no",13,"aug",227,2,-1,0,"no"
48,"services","married","secondary","no",1557.47126436782,"no","no",4,"jul",134,2,-1,0,"no"
56,"admin.","married","secondary","no",19394.2528735632,"no","no",7,"oct",223,1,-1,0,"no"
51,"blue-collar","divorced","secondary","no",233.333333333333,"yes","no",8,"may",134,1,170,5,"no"
31,"services","married","secondary","no",388.505747126437,"yes","no",28,"jan",155,1,-1,0,"no"
29,"technician","married","secondary","no",510.344827586207,"yes","no",21,"jul",130,4,-1,0,"no"
41,"management","married","secondary","no",0,"no","yes",7,"jul",630,3,-1,0,"no"
32,"technician","single","tertiary","no",413.793103448276,"no","no",19,"nov",164,2,-1,0,"no"
37,"management","married","tertiary","no",0,"no","no",16,"jul",268,2,182,3,"yes"
42,"entrepreneur","divorced","tertiary","yes",2.29885057471264,"yes","no",5,"may",380,1,-1,0,"no"
31,"management","single","tertiary","no",7181.6091954023,"yes","no",9,"may",154,2,-1,0,"no"
41,"services","married","tertiary","no",473.563218390805,"yes","no",3,"jun",154,5,-1,0,"no"
56,"retired","married","secondary","no",395.402298850575,"yes","no",15,"may",221,1,-1,0,"no"
54,"management","divorced","tertiary","no",3703.44827586207,"no","no",14,"aug",67,2,-1,0,"no"
41,"blue-collar","divorced","secondary","no",200,"yes","no",14,"may",367,2,297,1,"no"
40,"technician","single","secondary","no",679.310344827586,"no","yes",14,"aug",87,6,-1,0,"no"
50,"blue-collar","divorced","primary","no",445.977011494253,"no","no",5,"feb",701,1,-1,0,"no"
40,"unemployed","married","secondary","no",251.724137931034,"yes","no",17,"nov",204,2,196,1,"no"
27,"admin.","divorced","secondary","no",518.390804597701,"yes","no",16,"jul",652,1,-1,0,"yes"
60,"retired","married","primary","no",5.74712643678161,"no","no",26,"aug",63,2,-1,0,"no"
28,"admin.","single","secondary","no",203.448275862069,"yes","yes",6,"may",150,1,-1,0,"no"
52,"services","married","secondary","no",755.172413793103,"no","no",7,"jul",398,2,460,2,"yes"
37,"management","married","tertiary","no",1511.49425287356,"no","no",30,"jun",224,1,-1,0,"yes"
51,"blue-collar","married","primary","no",1685.05747126437,"yes","no",7,"may",406,2,-1,0,"no"
41,"technician","single","secondary","no",1010.34482758621,"no","yes",7,"jul",60,4,-1,0,"no"
35,"blue-collar","single","primary","no",336.781609195402,"yes","no",30,"may",521,2,-1,0,"no"
38,"admin.","married","secondary","no",487.35632183908,"yes","no",17,"apr",279,1,-1,0,"no"
34,"blue-collar","married","secondary","no",2104.59770114943,"yes","no",20,"may",203,2,-1,0,"no"
39,"blue-collar","married","primary","no",127.586206896552,"no","no",18,"nov",201,2,-1,0,"no"
