"age" "job" "marital" "education" "default" "balance" "housing" "loan" "contact" "day" "month" "duration" "campaign" "pdays" "previous" "y"
59 "blue-collar" "married" "primary" "no" 3059 "no" "no" "teleph" 20 "jun" 81 3 -1 0 "no"
50 "technician" "married" "secondary" "no" 0 "no" "no" "teleph" 7 "jul" 152 2 -1 0 "no"
39 "blue-collar" "married" "secondary" "no" 318 "yes" "no" "unknown" 23 "may" 160 3 -1 0 "no"
36 "technician" "married" "secondary" "no" 515 "yes" "no" "unknown" 27 "may" 59 1 -1 0 "no"
44 "blue-collar" "married" "secondary" "no" 17585 "yes" "no" "teleph" 21 "nov" 297 1 -1 0 "no"
36 "technician" "married" "tertiary" "no" 0 "no" "no" "teleph" 22 "aug" 147 2 -1 0 "no"
27 "management" "single" "tertiary" "no" 96 "no" "no" "teleph" 4 "may" 143 1 -1 0 "no"
29 "services" "married" "secondary" "no" 335 "yes" "no" "unknown" 28 "may" 75 1 -1 0 "no"
70 "retired" "married" "secondary" "no" 1265 "no" "no" "teleph" 14 "may" 338 3 185 2 "no"
44 "management" "married" "tertiary" "no" 15101 "no" "no" "unknown" 11 "jun" 29 2 -1 0 "no"
55 "management" "married" "tertiary" "no" 0 "yes" "no" "unknown" 14 "may" 159 2 -1 0 "no"
36 "technician" "divorced" "secondary" "no" -473 "yes" "no" "unknown" 2 "jun" 85 8 -1 0 "no"
28 "technician" "single" "secondary" "no" 423 "yes" "no" "teleph" 11 "may" 15 7 -1 0 "no"
50 "management" "divorced" "tertiary" "no" 387 "no" "no" "teleph" 8 "may" 198 2 358 5 "no"
49 "technician" "married" "secondary" "no" 2954 "no" "no" "unknown" 19 "may" 114 2 -1 0 "no"
71 "retired" "divorced" "tertiary" "no" 284 "no" "no" "teleph" 12 "aug" 1117 2 -1 0 "no"
31 "admin." "single" "secondary" "no" 823 "no" "no" "teleph" 3 "feb" 343 2 -1 0 "no"
45 "management" "single" "tertiary" "no" 17 "no" "no" "teleph" 31 "jul" 59 2 -1 0 "no"
42 "blue-collar" "married" "secondary" "no" -459 "no" "no" "teleph" 9 "jul" 31 1 -1 0 "no"
45 "admin." "married" "secondary" "no" 270 "no" "no" "teleph" 16 "jul" 212 2 -1 0 "no"
47 "technician" "married" "primary" "no" 158 "yes" "no" "unknown" 7 "may" 157 6 -1 0 "no"
60 "retired" "divorced" "secondary" "no" 650 "no" "yes" "teleph" 8 "jul" 96 1 -1 0 "no"
35 "management" "married" "tertiary" "no" 1032 "yes" "no" "unknown" 27 "may" 245 2 -1 0 "no"
31 "technician" "single" "tertiary" "no" 667 "no" "no" "teleph" 11 "aug" 72 4 -1 0 "no"
33 "blue-collar" "married" "primary" "no" 1314 "yes" "no" "teleph" 16 "apr" 700 1 -1 0 "no"
50 "self-employed" "married" "tertiary" "no" 220 "yes" "no" "teleph" 15 "apr" 107 1 148 4 "no"
51 "blue-collar" "married" "secondary" "no" 2000 "yes" "no" "teleph" 18 "aug" 312 3 -1 0 "no"
34 "technician" "married" "secondary" "no" 124 "yes" "yes" "teleph" 4 "jun" 153 1 309 3 "no"
56 "services" "married" "secondary" "no" -249 "no" "yes" "teleph" 23 "jul" 55 10 -1 0 "no"
29 "services" "married" "secondary" "no" 198 "yes" "no" "teleph" 13 "may" 38 3 -1 0 "no"
31 "blue-collar" "married" "secondary" "no" 436 "no" "no" "teleph" 14 "aug" 96 3 -1 0 "no"
44 "technician" "divorced" "unknown" "no" 825 "yes" "no" "unknown" 23 "may" 397 1 -1 0 "no"
55 "retired" "married" "secondary" "no" 4559 "no" "yes" "teleph" 30 "jul" 208 3 -1 0 "no"
35 "student" "single" "unknown" "no" 0 "no" "no" "teleph" 28 "jan" 122 3 -1 0 "no"
36 "technician" "married" "tertiary" "no" 684 "yes" "yes" "teleph" 29 "dec" 109 1 246 1 "no"
54 "retired" "married" "secondary" "no" 166 "yes" "yes" "unknown" 26 "may" 74 1 -1 0 "no"
32 "management" "married" "tertiary" "no" 601 "yes" "no" "teleph" 22 "jul" 72 1 -1 0 "no"
36 "management" "divorced" "tertiary" "no" 1149 "no" "no" "teleph" 5 "feb" 383 2 -1 0 "no"
60 "retired" "married" "secondary" "no" 85 "yes" "no" "unknown" 12 "may" 113 3 -1 0 "no"
32 "technician" "single" "secondary" "no" -30 "no" "yes" "unknown" 4 "jul" 400 1 -1 0 "no"
57 "management" "married" "tertiary" "no" 1010 "no" "no" "teleph" 19 "aug" 387 8 -1 0 "no"
34 "blue-collar" "married" "primary" "no" 465 "yes" "no" "teleph" 18 "may" 59 2 -1 0 "no"
27 "student" "single" "secondary" "no" 291 "yes" "no" "teleph" 13 "may" 528 1 358 2 "no"
52 "management" "single" "tertiary" "no" 90 "no" "no" "teleph" 26 "aug" 1223 6 -1 0 "yes"
45 "admin." "divorced" "unknown" "no" 1085 "yes" "no" "teleph" 30 "jul" 38 2 -1 0 "no"
58 "admin." "single" "secondary" "no" 2416 "no" "no" "teleph" 4 "dec" 1139 2 114 1 "no"
39 "blue-collar" "single" "primary" "no" 7 "yes" "no" "teleph" 19 "nov" 286 2 -1 0 "no"
48 "blue-collar" "single" "secondary" "no" 339 "yes" "yes" "teleph" 3 "feb" 369 2 -1 0 "no"
36 "management" "single" "secondary" "no" 0 "no" "no" "teleph" 13 "aug" 333 5 -1 0 "no"
31 "technician" "single" "secondary" "no" 751 "yes" "no" "teleph" 8 "may" 198 1 -1 0 "no"
41 "management" "married" "tertiary" "no" 838 "yes" "no" "teleph" 26 "aug" 106 8 -1 0 "no"
30 "self-employed" "single" "secondary" "no" 209 "no" "no" "teleph" 22 "jul" 423 1 -1 0 "no"
57 "retired" "married" "tertiary" "no" 0 "no" "no" "teleph" 12 "aug" 116 4 -1 0 "no"
29 "admin." "single" "secondary" "no" 1163 "yes" "no" "unknown" 19 "may" 30 1 357 1 "yes"
29 "services" "divorced" "secondary" "no" 91 "yes" "no" "teleph" 13 "apr" 1101 2 -1 0 "yes"
30 "management" "single" "tertiary" "no" 2 "no" "no" "teleph" 16 "jun" 102 1 85 1 "no"
44 "management" "married" "tertiary" "no" 1350 "yes" "no" "teleph" 6 "aug" 384 6 -1 0 "no"
33 "student" "single" "unknown" "no" 6488 "no" "no" "teleph" 4 "sep" 156 2 127 8 "no"
56 "admin." "divorced" "secondary" "no" 3627 "yes" "no" "teleph" 17 "nov" 99 3 -1 0 "no"
26 "services" "single" "secondary" "no" 1464 "no" "no" "teleph" 18 "jun" 280 6 92 5 "yes"
52 "technician" "married" "secondary" "no" 70 "no" "no" "teleph" 29 "aug" 20 2 -1 0 "no"
32 "management" "single" "secondary" "no" 271 "yes" "no" "unknown" 2 "jun" 258 1 -1 0 "no"
36 "technician" "single" "secondary" "no" 0 "no" "no" "teleph" 29 "aug" 85 6 -1 0 "no"
26 "blue-collar" "married" "secondary" "no" 139 "no" "no" "unknown" 4 "jul" 355 1 -1 0 "no"
37 "blue-collar" "married" "secondary" "no" 213 "yes" "no" "unknown" 5 "jun" 66 3 -1 0 "no"
34 "technician" "married" "secondary" "no" 382 "yes" "no" "teleph" 18 "jul" 467 1 -1 0 "no"
26 "services" "single" "secondary" "no" 6014 "yes" "no" "teleph" 7 "may" 582 2 283 4 "no"
32 "services" "married" "secondary" "no" 41 "yes" "no" "teleph" 15 "may" 744 1 -1 0 "yes"
30 "management" "single" "tertiary" "yes" 38 "no" "no" "teleph" 30 "jul" 185 4 -1 0 "no"
27 "technician" "single" "secondary" "no" 255 "yes" "no" "teleph" 12 "may" 13 5 -1 0 "no"
42 "admin." "single" "secondary" "no" 33 "yes" "no" "teleph" 4 "feb" 98 1 266 3 "no"
33 "blue-collar" "single" "primary" "no" 100 "yes" "no" "unknown" 9 "may" 127 1 -1 0 "no"
37 "blue-collar" "married" "secondary" "no" 73 "no" "no" "unknown" 3 "jun" 45 2 -1 0 "no"
45 "blue-collar" "married" "secondary" "no" 4372 "yes" "no" "teleph" 29 "jan" 244 3 -1 0 "no"
36 "entrepreneur" "married" "tertiary" "no" 3323 "no" "no" "unknown" 16 "jun" 2769 4 -1 0 "yes"
39 "management" "single" "tertiary" "no" 0 "yes" "no" "teleph" 12 "may" 561 4 369 3 "no"
33 "management" "single" "tertiary" "no" 379 "no" "no" "teleph" 22 "aug" 182 1 -1 0 "no"
47 "services" "married" "secondary" "no" 2524 "no" "no" "teleph" 22 "aug" 618 1 -1 0 "no"
49 "entrepreneur" "married" "secondary" "no" 182 "yes" "yes" "unknown" 6 "may" 198 3 -1 0 "no"
46 "management" "divorced" "secondary" "no" 607 "no" "no" "teleph" 19 "aug" 126 6 -1 0 "no"
31 "services" "married" "secondary" "no" -250 "yes" "yes" "teleph" 16 "jul" 715 1 -1 0 "no"
43 "unemployed" "divorced" "secondary" "no" 4450 "yes" "no" "teleph" 21 "nov" 63 1 -1 0 "no"
